Run Date,Run UUID,Computer Name,Serial Number,Model Name,Model Identifier,Processor Name,Processor Speed,Current Processor Speed,Max Turbo (Intel Spec),Cores,Threads,Boot ROM Version/System Firmware Version,SMC Version (system),CPU Details (sysctl -n machdep.cpu.brand_string),OS v,uname -a,perl v,lsofUser,lsofRoot,Benchmark Version,Notes,Beginning Load,Ending Load,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,time 11,time 12,time 13,time 14,time 15,time 16,time 17,time 18,time 19,time 20,time 21,time 22,time 23,time 24,time 25,time 26,time 27,time 28,time 29,time 30,time 31,time 32,time 33,time 34,time 35,time 36,time 37,time 38,time 39,time 40,time 41,time 42,time 43,time 44,time 45,time 46,time 47,time 48,time 49,time 50,time 51,time 52,time 53,time 54,time 55,time 56,time 57,time 58,time 59,time 60,time 61,time 62,time 63,time 64,time 65
01/26/22 03:19,75210065-FD0D-405A-842F-2274FB32B798,wopr.local,C07K40A8F4MG,Mac Pro,"MacPro5,1",6-Core Intel Xeon,3.33 GHz,3330000000,3.60 GHz,6,12,144.0.0.0.0,1.39f11,Intel(R) Xeon(R) CPU           W3680  @ 3.33GHz,macOS 10.14.6 (18G9323),Darwin wopr.local 18.7.0 Darwin Kernel Version 18.7.0: Tue Jun 22 19:37:08 PDT 2021; root:xnu-4903.278.70~1/RELEASE_X86_64 x86_64,5.012004,3770,,perlSimpleBenchmark.pl 0.0.4 benchmarkEngineVersion 0.3.0 (1000000000),,"22:18  up  6:38, 9 users, load averages: 0.58 0.97 1.50","22:19  up  6:39, 9 users, load averages: 2.30 1.43 1.62",26.66689301,27.91924906,27.1223769187927 (only one thread),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/26/22 03:19,∆ - 75210065-FD0D-405A-842F-2274FB32B798,wopr.local,C07K40A8F4MG,Mac Pro,"MacPro5,1",6-Core Intel Xeon,3.33 GHz,3330000000,3.60 GHz,6,12,144.0.0.0.0,1.39f11,Intel(R) Xeon(R) CPU           W3680  @ 3.33GHz,macOS 10.14.6 (18G9323),Darwin wopr.local 18.7.0 Darwin Kernel Version 18.7.0: Tue Jun 22 19:37:08 PDT 2021; root:xnu-4903.278.70~1/RELEASE_X86_64 x86_64,5.012004,3770,,perlSimpleBenchmark.pl 0.0.4 benchmarkEngineVersion 0.3.0 (1000000000),,"22:18  up  6:38, 9 users, load averages: 0.58 0.97 1.50","22:19  up  6:39, 9 users, load averages: 2.30 1.43 1.62",26.66689301,1.252356052,-0.796872139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/26/22 03:19,0E256242-0578-4854-A9DA-A5D62CD47304,wopr.local,C07K40A8F4MG,Mac Pro,"MacPro5,1",6-Core Intel Xeon,3.33 GHz,3330000000,3.60 GHz,6,12,144.0.0.0.0,1.39f11,Intel(R) Xeon(R) CPU           W3680  @ 3.33GHz,macOS 10.14.6 (18G9323),Darwin wopr.local 18.7.0 Darwin Kernel Version 18.7.0: Tue Jun 22 19:37:08 PDT 2021; root:xnu-4903.278.70~1/RELEASE_X86_64 x86_64,5.018004,3775,,perlSimpleBenchmark.pl 0.0.4 benchmarkEngineVersion 0.3.0 (1000000000),,"22:18  up  6:38, 9 users, load averages: 0.58 0.97 1.50","22:19  up  6:39, 9 users, load averages: 2.35 1.45 1.63",28.38720703,29.55391192,28.6114790439606 (only one thread),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/26/22 03:19,∆ - 0E256242-0578-4854-A9DA-A5D62CD47304,wopr.local,C07K40A8F4MG,Mac Pro,"MacPro5,1",6-Core Intel Xeon,3.33 GHz,3330000000,3.60 GHz,6,12,144.0.0.0.0,1.39f11,Intel(R) Xeon(R) CPU           W3680  @ 3.33GHz,macOS 10.14.6 (18G9323),Darwin wopr.local 18.7.0 Darwin Kernel Version 18.7.0: Tue Jun 22 19:37:08 PDT 2021; root:xnu-4903.278.70~1/RELEASE_X86_64 x86_64,5.018004,3775,,perlSimpleBenchmark.pl 0.0.4 benchmarkEngineVersion 0.3.0 (1000000000),,"22:18  up  6:38, 9 users, load averages: 0.58 0.97 1.50","22:19  up  6:39, 9 users, load averages: 2.35 1.45 1.63",28.38720703,1.166704893,-0.94243288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/27/22 00:26,FD73C283-C2DD-471C-BC99-490E6854EAFF,wopr.local,C07K40A8F4MG,Mac Pro,"MacPro5,1",6-Core Intel Xeon,3.33 GHz,3330000000,3.60 GHz,6,12,144.0.0.0.0,1.39f11,Intel(R) Xeon(R) CPU           W3680  @ 3.33GHz,macOS 10.14.6 (18G9323),Darwin wopr.local 18.7.0 Darwin Kernel Version 18.7.0: Tue Jun 22 19:37:08 PDT 2021; root:xnu-4903.278.70~1/RELEASE_X86_64 x86_64,5.018004,5579,,perlSimpleBenchmark.pl 0.0.4 benchmarkEngineVersion 0.3.0 (1000000000),testing new version,"19:20  up 1 day,  3:40, 10 users, load averages: 3.66 3.48 3.73","19:26  up 1 day,  3:46, 10 users, load averages: 11.09 7.88 5.66",35.1388979,32.416008,35.834584,42.72505212,47.84724617,46.88575697,51.35478401,56.1931810379028 (only one thread),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/27/22 00:26,∆ - FD73C283-C2DD-471C-BC99-490E6854EAFF,wopr.local,C07K40A8F4MG,Mac Pro,"MacPro5,1",6-Core Intel Xeon,3.33 GHz,3330000000,3.60 GHz,6,12,144.0.0.0.0,1.39f11,Intel(R) Xeon(R) CPU           W3680  @ 3.33GHz,macOS 10.14.6 (18G9323),Darwin wopr.local 18.7.0 Darwin Kernel Version 18.7.0: Tue Jun 22 19:37:08 PDT 2021; root:xnu-4903.278.70~1/RELEASE_X86_64 x86_64,5.018004,5579,,perlSimpleBenchmark.pl 0.0.4 benchmarkEngineVersion 0.3.0 (1000000000),testing new version,"19:20  up 1 day,  3:40, 10 users, load averages: 3.66 3.48 3.73","19:26  up 1 day,  3:46, 10 users, load averages: 11.09 7.88 5.66",35.1388979,-2.7228899,3.418576002,6.890468121,5.122194052,-0.961489201,4.469027042,4.838397026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
